iter	Passed	Remaining
0	116	116221
1	118	58970
2	120	39999
3	122	30490
4	124	24792
5	126	20982
6	128	18277
7	130	16238
8	132	14559
9	133	13225
10	134	12126
11	136	11204
12	137	10420
13	138	9739
14	139	9157
15	139	8602
16	140	8148
17	142	7758
18	143	7398
19	144	7087
20	146	6814
21	147	6572
22	149	6334
23	150	6114
24	151	5925
25	152	5730
26	154	5575
27	155	5412
28	157	5276
29	159	5154
30	161	5033
31	162	4918
32	164	4811
33	165	4713
34	167	4618
35	169	4533
36	170	4446
37	172	4366
38	174	4290
39	175	4219
40	177	4152
41	179	4086
42	180	4025
43	182	3963
44	183	3901
45	185	3842
46	186	3782
47	187	3725
48	188	3660
49	189	3608
50	190	3552
51	192	3500
52	193	3449
53	194	3401
54	195	3355
55	196	3310
56	197	3269
57	198	3227
58	199	3183
59	200	3146
60	201	3106
61	202	3063
62	203	3023
63	204	2990
64	206	2970
65	207	2941
66	209	2914
67	210	2889
68	212	2862
69	213	2836
70	214	2809
71	215	2781
72	216	2752
73	217	2726
74	218	2700
75	220	2677
76	221	2657
77	223	2638
78	224	2619
79	226	2600
80	227	2576
81	228	2556
82	229	2536
83	230	2510
84	231	2491
85	232	2471
86	233	2451
87	235	2436
88	236	2418
89	237	2398
90	238	2379
91	239	2359
92	240	2342
93	241	2326
94	242	2309
95	243	2292
96	244	2276
97	245	2264
98	247	2251
99	248	2238
100	250	2225
101	251	2212
102	252	2201
103	253	2187
104	255	2174
105	256	2161
106	257	2147
107	259	2141
108	261	2139
109	262	2126
110	264	2114
111	264	2100
112	266	2090
113	267	2078
114	268	2062
115	269	2051
116	270	2043
117	272	2034
118	273	2025
119	274	2016
120	276	2007
121	277	1997
122	278	1987
123	279	1977
124	280	1966
125	282	1956
126	283	1948
127	284	1940
128	285	1930
129	286	1920
130	288	1910
131	289	1902
132	290	1891
133	291	1883
134	292	1874
135	293	1867
136	295	1858
137	296	1850
138	297	1840
139	298	1832
140	299	1824
141	300	1815
142	301	1808
143	303	1801
144	304	1795
145	305	1789
146	307	1783
147	308	1778
148	310	1771
149	311	1764
150	312	1757
151	313	1750
152	315	1744
153	316	1737
154	317	1730
155	318	1723
156	319	1716
157	320	1709
158	321	1702
159	323	1695
160	324	1689
161	325	1683
162	326	1677
163	327	1670
164	328	1663
165	329	1657
166	331	1651
167	332	1645
168	333	1639
169	334	1632
170	335	1626
171	336	1620
172	337	1614
173	338	1608
174	339	1602
175	340	1596
176	342	1590
177	343	1585
178	344	1579
179	345	1574
180	346	1568
181	347	1563
182	349	1558
183	349	1551
184	350	1545
185	352	1540
186	353	1537
187	354	1532
188	355	1526
189	356	1521
190	358	1517
191	359	1511
192	360	1506
193	361	1501
194	362	1497
195	363	1492
196	364	1487
197	365	1482
198	366	1476
199	367	1471
200	368	1466
201	370	1462
202	371	1457
203	372	1453
204	373	1448
205	374	1444
206	375	1440
207	377	1435
208	378	1431
209	379	1427
210	380	1421
211	381	1417
212	382	1412
213	383	1408
214	384	1404
215	385	1400
216	386	1395
217	387	1391
218	389	1388
219	390	1385
220	392	1382
221	393	1379
222	395	1376
223	396	1374
224	397	1370
225	398	1366
226	400	1362
227	401	1358
228	402	1355
229	403	1351
230	404	1347
231	405	1343
232	407	1339
233	408	1336
234	409	1331
235	410	1328
236	411	1324
237	412	1320
238	413	1316
239	414	1313
240	415	1309
241	417	1306
242	420	1309
243	421	1307
244	423	1304
245	424	1301
246	426	1298
247	427	1295
248	428	1293
249	430	1290
250	431	1287
251	432	1283
252	433	1280
253	434	1277
254	435	1273
255	437	1271
256	439	1269
257	440	1267
258	442	1264
259	443	1261
260	445	1260
261	446	1257
262	447	1253
263	448	1251
264	450	1248
265	451	1245
266	452	1242
267	453	1239
268	454	1236
269	456	1233
270	457	1230
271	458	1227
272	459	1223
273	460	1221
274	462	1218
275	463	1214
276	464	1211
277	465	1208
278	466	1205
279	467	1202
280	468	1199
281	470	1197
282	471	1195
283	473	1193
284	474	1190
285	476	1188
286	477	1185
287	478	1183
288	479	1180
289	481	1178
290	482	1175
291	483	1172
292	484	1169
293	486	1167
294	487	1164
295	488	1161
296	489	1158
297	490	1155
298	491	1152
299	492	1149
300	493	1146
301	494	1143
302	495	1140
303	496	1137
304	498	1134
305	499	1131
306	500	1129
307	501	1126
308	502	1123
309	503	1120
310	504	1117
311	505	1115
312	506	1112
313	507	1109
314	509	1106
315	510	1104
316	511	1101
317	512	1099
318	513	1096
319	514	1094
320	516	1091
321	517	1089
322	518	1086
323	519	1083
324	520	1081
325	521	1078
326	522	1075
327	523	1072
328	524	1070
329	525	1067
330	527	1065
331	528	1062
332	529	1060
333	530	1058
334	531	1055
335	532	1053
336	534	1050
337	535	1048
338	536	1045
339	537	1043
340	538	1040
341	539	1038
342	540	1035
343	541	1033
344	543	1031
345	544	1029
346	545	1026
347	546	1024
348	547	1022
349	549	1019
350	550	1017
351	551	1014
352	552	1012
353	553	1009
354	554	1007
355	555	1004
356	556	1002
357	557	1000
358	559	998
359	560	995
360	561	993
361	562	991
362	563	988
363	564	986
364	566	984
365	567	982
366	567	979
367	569	977
368	570	975
369	571	972
370	572	970
371	573	968
372	574	966
373	576	964
374	577	962
